County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Harford,Young Children 100,-0.022000000000000002,-0.039,-0.077,-0.10800000000000001,-0.10400000000000001,-0.19399999999999998,"272,165","59,029","15,126",0.0874,0.09140000000000001,0.1796,0.0855,0.08779999999999999,0.1659,0.039599999999999996,0.0572,0.1197,0.0353,0.0512,0.0965
Howard,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"347,480","83,495","21,180",0.07719999999999999,0.0745,0.0559,0.07719999999999999,0.0745,0.0559,0.0239,0.0131,0.0179,0.0239,0.0131,0.0179
Kent,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"20,574","4,075",928,0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Maryland,Young Children 100,-0.021,-0.044000000000000004,-0.102,-0.035,-0.09,-0.213,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.12279999999999999,0.1418,0.1423,0.040999999999999995,0.0383,0.0355,0.039599999999999996,0.0349,0.0279
Montgomery,Young Children 100,-0.024,-0.051,-0.12,-0.086,-0.22899999999999998,-0.465,"1,117,479","253,075","68,066",0.1391,0.16899999999999998,0.2184,0.1358,0.1605,0.19210000000000002,0.0397,0.0355,0.0334,0.0363,0.0274,0.0179
Prince George's,Young Children 100,-0.046,-0.08800000000000001,-0.157,-0.02,-0.07400000000000001,-0.11,"939,674","210,461","62,964",0.14800000000000002,0.2011,0.19440000000000002,0.1411,0.1834,0.16390000000000002,0.0369,0.027000000000000003,0.0313,0.0361,0.025,0.0279
Queen Anne's,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"52,268","10,354","2,357",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Somerset,Young Children 100,-0.008,-0.024,-0.12,-0.055999999999999994,-0.168,-0.456,"25,729","5,354","1,343",0.12390000000000001,0.1226,0.09849999999999999,0.12279999999999999,0.11960000000000001,0.0867,0.06860000000000001,0.0723,0.047599999999999996,0.06480000000000001,0.0602,0.0259
St. Mary's,Young Children 100,-0.023,-0.028999999999999998,-0.054000000000000006,-0.075,-0.098,-0.455,"122,944","28,340","6,183",0.085,0.11410000000000001,0.0966,0.083,0.1109,0.09140000000000001,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
Talbot,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"39,141","7,753","1,765",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Washington,Young Children 100,-0.044000000000000004,-0.092,-0.522,0.0,0.0,0.0,"152,311","33,790","8,912",0.09380000000000001,0.09820000000000001,0.0653,0.0897,0.0892,0.031200000000000002,0.032,0.0323,0.015700000000000002,0.032,0.0323,0.015700000000000002
Wicomico,Young Children 100,-0.008,-0.024,-0.12,-0.055999999999999994,-0.168,-0.456,"102,537","21,337","5,350",0.12390000000000001,0.1226,0.09849999999999999,0.12279999999999999,0.11960000000000001,0.0867,0.06860000000000001,0.0723,0.047599999999999996,0.06480000000000001,0.0602,0.0259
Worcester,Young Children 100,-0.008,-0.024,-0.12,-0.055999999999999994,-0.168,-0.456,"51,764","10,771","2,701",0.12390000000000001,0.1226,0.09849999999999999,0.12279999999999999,0.11960000000000001,0.0867,0.06860000000000001,0.0723,0.047599999999999996,0.06480000000000001,0.0602,0.0259
