County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Allegany,Young Children 100,-0.085,-0.21100000000000002,-0.5,0.0,0.0,0.0,"67,952","12,172","3,194",0.11410000000000001,0.11289999999999999,0.18170000000000003,0.10439999999999999,0.08900000000000001,0.0909,0.0432,0.0444,0.013600000000000001,0.0432,0.0444,0.013600000000000001
Anne Arundel,Young Children 100,-0.028999999999999998,-0.059000000000000004,-0.22699999999999998,0.0,0.0,0.0,"612,985","136,078","38,425",0.0649,0.07730000000000001,0.052300000000000006,0.063,0.0728,0.0404,0.019,0.0144,0.0089,0.019,0.0144,0.0089
Baltimore City,Young Children 100,-0.003,-0.008,-0.013000000000000001,-0.005,-0.015,-0.025,"595,705","122,089","37,354",0.25,0.3296,0.2793,0.2492,0.3268,0.2758,0.0898,0.1005,0.0724,0.0894,0.099,0.0706
Baltimore County,Young Children 100,-0.012,-0.017,-0.05,-0.040999999999999995,-0.136,-0.336,"865,896","186,739","50,331",0.12710000000000002,0.1326,0.171,0.12560000000000002,0.1303,0.1624,0.0463,0.037200000000000004,0.0327,0.0444,0.0321,0.0217
Calvert,Young Children 100,-0.023,-0.028999999999999998,-0.054000000000000006,-0.075,-0.098,-0.455,"100,193","23,096","5,039",0.085,0.11410000000000001,0.0966,0.083,0.1109,0.09140000000000001,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
Caroline,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"34,804","6,894","1,570",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Carroll,Young Children 100,-0.067,-0.17300000000000001,-0.48700000000000004,0.0,0.0,0.0,"178,564","37,240","8,930",0.0691,0.0766,0.063,0.0645,0.0633,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.021400000000000002,0.0216,0.011399999999999999
Cecil,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"108,229","23,069","6,038",0.1063,0.0759,0.0629,0.1063,0.0759,0.0629,0.046799999999999994,0.0296,0.0028000000000000004,0.046799999999999994,0.0296,0.0028000000000000004
Charles,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"174,238","41,222","9,237",0.0907,0.1121,0.08539999999999999,0.0907,0.1121,0.08539999999999999,0.024399999999999998,0.0152,0.0159,0.024399999999999998,0.0152,0.0159
Dorchester,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"33,845","6,704","1,526",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Frederick,Young Children 100,0.0,0.0,0.0,0.0,0.0,0.0,"275,124","62,421","16,185",0.10039999999999999,0.105,0.1272,0.10039999999999999,0.105,0.1272,0.0294,0.0281,0.0246,0.0294,0.0281,0.0246
Garrett,Young Children 100,-0.085,-0.21100000000000002,-0.5,0.0,0.0,0.0,"27,805","4,981","1,307",0.11410000000000001,0.11289999999999999,0.18170000000000003,0.10439999999999999,0.08900000000000001,0.0909,0.0432,0.0444,0.013600000000000001,0.0432,0.0444,0.013600000000000001
