District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Maryland,-0.04,-0.08,-0.18899999999999997,-0.040999999999999995,-0.109,-0.27,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.1204,0.1364,0.1285,0.040999999999999995,0.0383,0.0355,0.0393,0.0341,0.0259
1,-0.141,-0.284,-0.736,0.0,0.0,0.0,"114,171","21,238","5,578",0.1109,0.1101,0.1592,0.09519999999999999,0.0788,0.0421,0.0414,0.0421,0.013999999999999999,0.0414,0.0421,0.013999999999999999
2,-0.06,-0.142,-0.6629999999999999,0.0,0.0,0.0,"133,897","29,705","7,835",0.09380000000000001,0.09820000000000001,0.0653,0.0882,0.0843,0.022000000000000002,0.032,0.0323,0.015700000000000002,0.032,0.0323,0.015700000000000002
3,-0.067,-0.077,-0.25,0.0,0.0,0.0,"140,519","30,562","8,475",0.1101,0.1321,0.1464,0.1027,0.122,0.10980000000000001,0.0318,0.0298,0.022000000000000002,0.0318,0.0298,0.022000000000000002
4,-0.015,-0.028999999999999998,-0.073,-0.006,-0.017,-0.017,"148,118","34,677","8,386",0.08839999999999999,0.0788,0.1027,0.08710000000000001,0.0765,0.09519999999999999,0.0263,0.026000000000000002,0.026099999999999998,0.026099999999999998,0.0256,0.025699999999999997
5,-0.067,-0.17300000000000001,-0.48700000000000004,-0.078,-0.247,-0.48,"137,094","28,591","6,856",0.0691,0.0766,0.063,0.0645,0.0633,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
6,0.0,0.0,0.0,-0.005,-0.013999999999999999,-0.114,"125,612","26,628","6,496",0.1517,0.1416,0.096,0.1517,0.1416,0.096,0.0542,0.0738,0.0369,0.053899999999999997,0.0728,0.0327
7,-0.006,-0.009000000000000001,-0.021,-0.046,-0.134,-0.243,"141,761","29,232","7,021",0.09179999999999999,0.1041,0.1882,0.0913,0.1032,0.1843,0.030899999999999997,0.0259,0.059500000000000004,0.0294,0.022400000000000003,0.045
8,0.0,0.0,0.0,-0.034,-0.17300000000000001,-0.33799999999999997,"131,122","27,580","8,905",0.1439,0.1557,0.3223,0.1439,0.1557,0.3223,0.0603,0.0438,0.0695,0.0582,0.0362,0.046
9,-0.016,-0.038,-0.187,-0.015,-0.059000000000000004,-0.08900000000000001,"151,926","35,148","8,316",0.0737,0.0775,0.0441,0.0725,0.0746,0.0359,0.0207,0.015,0.0104,0.0204,0.0141,0.0095
