District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
25,-0.35200000000000004,-0.71,-0.6509999999999999,-0.057999999999999996,-0.371,0.0,"126,098","26,868","6,876",0.1422,0.21170000000000003,0.1779,0.09210000000000002,0.061500000000000006,0.0621,0.028399999999999998,0.0121,0.0045000000000000005,0.026699999999999998,0.0076,0.0045000000000000005
26,-0.163,-0.546,-0.565,-0.027000000000000003,-0.163,0.0,"127,742","24,824","6,997",0.1288,0.0974,0.1027,0.10779999999999999,0.044199999999999996,0.0447,0.0405,0.0166,0.0092,0.0394,0.0139,0.0092
27,-0.132,-0.22,-0.391,-0.33899999999999997,-0.7,-0.81,"149,479","33,013","7,725",0.0907,0.1199,0.1306,0.0787,0.0935,0.0796,0.0318,0.0484,0.0418,0.021,0.014499999999999999,0.008
28,-0.255,-0.539,-0.738,-0.055,-0.278,0.0,"153,446","36,303","8,135",0.0907,0.1121,0.08539999999999999,0.0676,0.0516,0.022400000000000003,0.024399999999999998,0.0152,0.0159,0.023,0.011000000000000001,0.0159
29,-0.042,-0.054000000000000006,-0.192,-0.41,-0.722,-0.856,"145,299","33,493","7,307",0.085,0.11410000000000001,0.0966,0.0814,0.1079,0.0781,0.044500000000000005,0.0788,0.0781,0.0263,0.0219,0.011200000000000002
30,-0.33899999999999997,-0.682,-0.802,-0.004,-0.013999999999999999,,"133,757","28,419","8,782",0.08220000000000001,0.1378,0.07690000000000001,0.054400000000000004,0.043899999999999995,0.0152,0.0159,0.0102,0.0,0.0158,0.0101,0.0
31,-0.052000000000000005,-0.111,0.0,-0.158,-0.405,0.0,"145,271","32,620","9,982",0.0746,0.0716,0.037200000000000004,0.0708,0.0636,0.037200000000000004,0.027200000000000002,0.0302,0.021400000000000002,0.0229,0.018000000000000002,0.021400000000000002
32,-0.16699999999999998,-0.34600000000000003,-0.504,-0.071,-0.285,0.0,"156,225","34,893","9,382",0.058899999999999994,0.063,0.0528,0.049100000000000005,0.0412,0.0262,0.019299999999999998,0.0138,0.011000000000000001,0.0179,0.0098,0.011000000000000001
33,-0.195,-0.511,-0.6459999999999999,-0.028999999999999998,-0.205,0.0,"145,629","33,012","8,479",0.048499999999999995,0.0495,0.0416,0.039,0.0242,0.0147,0.013999999999999999,0.0049,0.0019,0.013500000000000002,0.0039000000000000003,0.0019
34,-0.102,-0.182,-0.223,-0.498,-0.8759999999999999,-0.943,"134,752","30,031","8,293",0.1117,0.1373,0.2455,0.1003,0.11230000000000001,0.1906,0.055099999999999996,0.08560000000000001,0.1559,0.0276,0.0106,0.0089
35,-0.06,-0.24100000000000002,-0.145,-0.187,-0.175,0.0,"138,773","29,335","7,225",0.0821,0.0542,0.0698,0.07719999999999999,0.041100000000000005,0.059699999999999996,0.0338,0.025099999999999997,0.031,0.0275,0.0207,0.031
36,-0.094,-0.278,-0.128,-0.132,-0.141,0.0,"137,999","27,921","6,639",0.0898,0.0704,0.0482,0.0814,0.0508,0.042,0.0269,0.0183,0.0036,0.0233,0.015700000000000002,0.0036
37,-0.092,-0.273,-0.15,-0.14300000000000002,-0.55,-0.408,"131,848","26,621","6,303",0.0989,0.0895,0.065,0.0898,0.06509999999999999,0.0552,0.038,0.036699999999999997,0.0222,0.0325,0.0165,0.0132
38,-0.08800000000000001,-0.294,-0.237,-0.20800000000000002,-0.708,-0.456,"129,653","26,979","6,765",0.12390000000000001,0.1226,0.09849999999999999,0.11289999999999999,0.08650000000000001,0.07519999999999999,0.06860000000000001,0.0723,0.047599999999999996,0.054299999999999994,0.021099999999999997,0.0259
39,-0.096,-0.131,-0.11599999999999999,-0.126,-0.47200000000000003,-0.396,"125,783","28,605","8,019",0.09630000000000001,0.1384,0.10890000000000001,0.08710000000000001,0.12029999999999999,0.09630000000000001,0.0298,0.022799999999999997,0.059800000000000006,0.026000000000000002,0.012,0.0362
40,-0.096,-0.245,-0.166,-0.14400000000000002,-0.389,-0.45399999999999996,"104,198","21,161","6,593",0.26530000000000004,0.3472,0.30920000000000003,0.23989999999999997,0.2621,0.2579,0.0966,0.11019999999999999,0.0917,0.0827,0.0674,0.0501
41,-0.087,-0.23399999999999999,-0.124,-0.175,-0.514,-0.669,"112,002","23,321","7,424",0.2503,0.2987,0.2554,0.2286,0.2289,0.2238,0.0922,0.096,0.08560000000000001,0.0761,0.0467,0.028399999999999998
42,-0.049,-0.13,-0.055,-0.253,-0.846,-0.83,"131,511","27,893","7,397",0.1092,0.111,0.0944,0.1038,0.0966,0.0892,0.057800000000000004,0.052000000000000005,0.0605,0.0432,0.008,0.0103
43,-0.102,-0.309,-0.195,-0.059000000000000004,-0.21100000000000002,-0.159,"111,884","21,848","6,911",0.1991,0.23370000000000002,0.2321,0.1789,0.16149999999999998,0.1867,0.07,0.067,0.0781,0.0659,0.0528,0.06570000000000001
44,-0.16399999999999998,-0.40399999999999997,-0.5329999999999999,-0.155,-0.406,-0.413,"117,785","26,236","7,311",0.15560000000000002,0.1857,0.2186,0.13,0.1106,0.10210000000000001,0.0547,0.0403,0.026000000000000002,0.0462,0.0239,0.015300000000000001
45,-0.10099999999999999,-0.275,-0.034,-0.107,-0.341,-0.125,"117,772","24,270","7,359",0.2145,0.27140000000000003,0.1886,0.19269999999999998,0.19690000000000002,0.1822,0.0789,0.0787,0.036000000000000004,0.0705,0.0519,0.0315
46,-0.10800000000000001,-0.243,-0.153,-0.131,-0.3,-0.14800000000000002,"115,319","23,573","6,815",0.3127,0.4718,0.3899,0.2789,0.35729999999999995,0.33,0.1142,0.1479,0.0722,0.0993,0.1036,0.061500000000000006
47,-0.251,-0.433,-0.36200000000000004,-0.09300000000000001,-0.215,-0.195,"131,028","35,276","12,632",0.2143,0.2686,0.23800000000000002,0.1606,0.1524,0.1518,0.0576,0.0572,0.0635,0.052300000000000006,0.0449,0.051100000000000007
